Subject,Course ID,Course Title,Course Description,Credits
Anthropology,ANTH_O 100,Introduction to Cultural Anthropology,"An overview of social and cultural anthropology, its origins, its distinctive methods and concepts, and its place in the contemporary world. A critical examination of human diversity and how social and cultural differences are produced and shaped by local and global patterns. [3-0-0]",	3
Anthropology,ANTH_O 103,Introduction to World Archaeology,"Peoples and cultures of prehistory. Examines archaeologists and their work in archaeological sites around the world, from the earliest evidence of humankind and hunting and gathering culture, to the emergence of civilization and state-level societies. [3-0-0]",	3
Anthropology,ANTH_O 111,Introduction to Biological Anthropology,"Examination of the place of humans in nature. Human genetics, biologically-determined variation in contemporary populations, human growth and development, comparative primatology, human evolution, and human disease. [3-0-0]",	3
Anthropology,ANTH_O 170,Introduction to Linguistic Anthropology,"Exploration of human communication, both verbal and non-verbal. The structure, cognitive role, and social functions of the spoken languages of the world will be emphasized. [3-0-0]",	3
Anthropology,ANTH_O 200,Public Anthropology: Engagement and Advocacy,"Examines the range of approaches to public anthropology and how its methods and insights can be used to effect social change, encourage broader public conversation and debate, and respond to inequality, injustice, and human suffering. [3-0-0] Prerequisite: Either (a) one of ANTH 100, ANTH 103 or (b) ANTH 170. Second-year standing.",	3
Anthropology,ANTH_O 205,"Gender, Sexuality, and the Body","An anthropological exploration of how understandings of gender, sex, and the body are culturally and historically shaped, with a focus on theory as well as case studies. How globalization and transnationalism are changing norms of gender and sexuality is also explored. [3-0-0] Prerequisite: Second-year standing.",	3
Anthropology,ANTH_O 210,Archaeological Inquiry and Practice,"Examines challenges and opportunities for archaeologists in the 21st century, including tensions in the discipline, the composition and differing interests of the archaeological community, the impact of the digitization of archaeology and ownership of the past and historical perspectives in archaeological thinking. [3-0-0] Prerequisite: ANTH 103.",	3
Anthropology,ANTH_O 218,"Tourism, Desire and Difference","Anthropological approaches to tourism, the politics of cultural encounters, and how the desire for difference shapes peoples' everyday lives and pleasure travel. [3-0-0] Prerequisite: Second-year standing.",	3
Anthropology,ANTH_O 227,Introduction to Medical Anthropology,"Overview of how social, cultural, historical, biological, and political-economic forces intersect to affect human health and disease. Biomedicine will be treated as only one among many efficacious systems of medical knowledge and how it is embedded in local and global forms of social inequalities will be explored in depth. [3-0-0] Prerequisite: Second-year standing.",	3
Anthropology,ANTH_O 245,Culture and Environment,"Introduction to environmental anthropology with an emphasis on the relationship of cultural systems to contemporary environmental issues. Includes material from the Okanagan region and diverse societies around the world. May include one or more local field trips. [3-0-0] Prerequisite: One of ANTH 100, SUST 104.",	3
Anthropology,ANTH_O 252,Visual Anthropology and New Media,Provides an introduction to visual anthropology and the history of film in anthropological research. Students critically evaluate how anthropologists and documentary filmmakers represent other peoples and cultures through film and new media. [3-0-0],	3
Anthropology,ANTH_O 260,Ethnobotany: Plants and People,"Introduction to ethnobotany, the study of people's use, classification, and management of plants. Explores ethnobotany's beginnings; fundamental principles and practices; the diverse relationship between people and plants, including the use of plants for food, medicine, and materials; and the role of plants in ritual and religion. [3-0-0] Prerequisite: Second-year standing.",	3
Anthropology,ANTH_O 270,Phonology,"Cross-cultural exploration of how sounds of language are produced (articulatory phonetics) and organized into the sound systems of individual languages (phonemics), the history of phonological theory, and the method for discovering the phonemic system of individual languages (phonological analysis). [3-0-0] Prerequisite: ANTH 170.",	3
Anthropology,ANTH_O 277,Anthropology of Reading and Writing,"Critical inquiry into the development and role of reading and writing in cross-cultural context. Emphasis on the origins of writing from archaeological evidence, the impact of writing systems on societies past and present, the social functions of writing, and innovations in new media. [3-0-0] Prerequisite: Second-year standing",	3
Anthropology,ANTH_O 295,Current Topics in Anthropology,Contemporary issues in anthropology topics. [3-0-0] Prerequisite: Varies with the topic; contact the department.,	3-6
Anthropology,ANTH_O 307,Ethnographic Methods: Acquiring Research Skills,"What are ethnographic methods and how is anthropological research conducted? Topics include research design, relationships with study participants, field techniques, ethical debates, data analysis and presentation. The emphasis is on interactive, workshop-style group learning. Credit will be granted for only one of ANTH 307 or ANTH 407. [3-0-0] Prerequisite: One of ANTH 100, ANTH 170, ANTH 200, ANTH 252. Third-year standing.",	3
Anthropology,ANTH_O 311,Digital Methods in Archaeology and Heritage,"Digital data, methods, practice, tools and technologies in archaeology and heritage are examined in light of conventional global archaeological practices that distance descendant communities from their heritage. Hands-on training in geospatial and digital data, processing and interpretation, and experimentation with different tools and technologies used in digital heritage. [3-0-0] Prerequisite: One of ANTH 103, ANTH 170, ANTH 200. Second-year standing.",	3
Anthropology,ANTH_O 312,Anthropology of Religion,"Critical examination of religious beliefs and practices in the context of both past and contemporary societies. Surveys approaches to related phenomena such as myth, ritual, witchcraft and shamanism, as well as theories regarding the changing role of religion in a globalized world shaped by secularism, fundamentalism, nationalism, and new religious movements. [3-0-0] Prerequisite: ANTH 100.",	3
Anthropology,ANTH_O 313,Anthropology of Gender,"Nature of gender relations, their social and cultural expression, and theories of gender inequality drawn from anthropological research. [3-0-0] Prerequisite: ANTH 100.",	3
Anthropology,ANTH_O 319,Settling Down: An Archaeology of Early State Societies,"Survey of archaeological evidence and theories for the origins and spread of settled village life, food production systems, and complex social and political organization. Begins with the Early Neolithic period and continues through to the appearance of the old world civilizations. [3-0-0] Prerequisite: ANTH 103. and third-year standing.",	3
Anthropology,ANTH_O 327,Things: Exploring Material Cultures,"Drawing on anthropology, archaeology and material culture studies, this course examines the value, significance and meaning of the material world, and the role of objects and things in the production of social life and culture. Past and present examples include commodities, ritualized gift exchanges, food, and the role of social media and new technology in shaping human interactions. [3-0-0] Prerequisite: One of ANTH 100, ANTH 103. and third-year standing.",	3
Anthropology,ANTH_O 330,"Psychological Distress, Mental Health, and Well-being","Introduction to the field of psychological anthropology, focusing on how the concepts and experience of mental health and illness are shaped by cultural, historical, and political economic contexts. Different systems of knowledge and diverse understandings of normality and pathology; emotions and embodiment; illness and healing; self, subjectivity, and personhood will be examined. ANTH 227 is strongly recommended. [3-0-0] Prerequisite: ANTH 100.",	3
Anthropology,ANTH_O 344,Encounters with Sciences of Life: Ethnographic Approaches,The anthropology of science with an emphasis on biosciences (life sciences and environmental sciences). Focus on ethnographic approaches to tracing and interpreting knowledge-making practices about living entities and processes. [3-0-0] Prerequisite: Third-year standing.,	3
Anthropology,ANTH_O 345,Living in the Anthropocene,"The human impact on the environment is now so far-reaching that the term Anthropocene is being used to refer to the current geological epoch. An examination of the defining characteristics of this time period and its implications for future engagements of humans with more-than-human worlds. Credit will be granted for only one of ANTH 345 or ANTH 490H. [3-0-0] Prerequisite: One of ANTH 100, SUST 104. Third-year standing.",	3
Anthropology,ANTH_O 350,Ethnography of Special Areas,Advanced study of ethnographic and theoretical problems specific to a region and topic that will vary each term. [3-0-0] Prerequisite: ANTH 100.,	3
Anthropology,ANTH_O 353,India in Motion: Ethnographic Perspectives,"Advanced study of ethnographic and theoretical problems in India. Topics such as religion, caste, gender and sexuality, agriculture and urban development, nationalism, Bollywood cinema, and globalization. [3-0-0] Prerequisite: ANTH 100. and third-year standing.",	3
Anthropology,ANTH_O 354,Imagining Africa Otherwise,"Introduction to Africa as a rhetorical construct and to the study of the African continent as a nexus of world-making innovation. Combines theoretical critiques from Black studies, African/a studies, and postcolonial theory, as well as African popular culture, to deconstruct common portrayals of Africa. [3-0-0] Prerequisite: ANTH 100. and third-year standing.",	3
