Subject,Course ID,Course Title,Course Description,Credits
Adult and Higher Education,ADHE_V 327,Teaching Adults,"Planning, conducting and evaluating instruction for adults. Consideration is given to different beliefs and ways of thinking about teaching. [3-0-0]",	3
Adult and Higher Education,ADHE_V 328,Institutions of Adult Education,"The history, roles, and activities of institutions in the field of adult education. Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined. [3-0-0]",	3
Adult and Higher Education,ADHE_V 329,"Developing Short Courses, Workshops and Seminars","Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes. [3-0-0]",	3
Adult and Higher Education,ADHE_V 330,The Community Practice of Adult Education,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups. [2-3-0]",	3
Adult and Higher Education,ADHE_V 375,Diploma Seminar and Internship in Adult Education,[2-3-0],	6
Adult and Higher Education,ADHE_V 412,An Overview of Adult Education,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators. [3-0-0; 3-0-0] Subscribe to ADHE_V Course Descriptions Introduction Courses by Subject Courses by Faculty/School/College UBC Academic Calendar Vancouver Campus 2016 1874 East Mall Vancouver,                  BC                  Canada V6T 1Z1 The University of British Columbia About UBC Contact UBC About the University News Events Careers Make a Gift Search UBC.ca UBC Campuses Vancouver Campus Okanagan Campus UBC Sites Robson Square Centre for Digital Media Faculty of Medicine Across BC Emergency Procedures | Terms of Use | UBC Copyright | Accessibility to top Calendar Sections Home Dates and Deadlines Academic Year Admissions Fees Establishment and Constitution Campus-wide Policies and Regulations Services, Facilities, and Organizations Research Units, Centres, and Institutes UBC Library Faculties, Colleges, and Schools Alternative Study Options Course Descriptions Emeriti Staff Enrolment Statistics 2023/24 Calendar History Calendar Archive Contact Us UBC Crest The official logo of the University of British Columbia. Urgent Message An exclamation mark in a speech bubble. Caret An arrowhead indicating direction. Arrow An arrow indicating direction. Arrow in Circle An arrow indicating direction. Arrow in Circle An arrow indicating direction. Chats Two speech clouds. Facebook The logo for the Facebook social media service. Information The letter 'i' in a circle. Instagram The logo for the Instagram social media service. Linkedin The logo for the LinkedIn social media service. Location Pin A map location pin. Mail An envelope. Menu Three horizontal lines indicating a menu. Minus A minus sign. Pencil A pencil indicating that this is editable. Telephone An antique telephone. Plus A plus symbol indicating more or the ability to add. Search A magnifying glass. Twitter The logo for the Twitter social media service. Youtube The logo for the YouTube video sharing service.",	3
African Studies,AFST_V 250,Introduction to African Studies,"Cultural, historical, and geographical issues of African Studies.",	3-6
African Studies,AFST_V 256,History of Africa,"An introduction to selected themes and historical approaches in African history. These may include African geography and identities, sources and methodology, pre-modern state formation, gender relations, world religions, labour systems, colonialism, and post-colonialism. Credit will be granted for only one of AFST 256 or HIST 256. Equivalency: HIST 256",	3
African Studies,AFST_V 308,The Languages of Africa,"Linguistic survey of the languages of Africa, including typological and historical connections between languages, individual and comparative surveys of sound systems, word structures, sentence structures, semantics, and sociolinguistic properties of a representative selection of languages. Equivalency: LING308",	3
African Studies,AFST_V 309,Arts of Africa and the African Diasporas,Comparative exploration of art practices and their relationship to colonial and postcolonial histories. Equivalency: ARTH 309,	3
African Studies,AFST_V 312,Southern Africa,"Pre-colonial, colonial, and contemporary, emphasizing South Africa. Credit will be granted for only one of AFST 312 or HIST 312. Equivalency: HIST 312",	3
African Studies,AFST_V 313,Africa from Imperialism to Independence,"The history of Africa in the 19th and 20th Centuries: the growth of Islam and Christianity, the impact of European colonialism, the development of nationalism, and the variety of different political and social outcomes after independence. Credit will be granted for only one of AFST 313 or HIST 313. Equivalency: HIST 313",	3
African Studies,AFST_V 350,Topics in African Studies,Topics will vary from year to year. Consult the program website ( https://africanstudies.arts.ubc.ca ) for further details.,	3-6
African Studies,AFST_V 351,Perspectives in African Studies: Literary and Theoretical Approaches,Major issues and theoretical approaches.,	3-6
African Studies,AFST_V 352,Perspectives in African Studies: A Social Science Approach,Major issues and theoretical approaches.,	3-6
African Studies,AFST_V 370,Literatures and Cultures of Africa and/or the Middle East,"Literary and cultural works from Africa; some sections include Africa and the Middle East. Multiple perspectives on local, national, and global issues including colonialism, migration, transnationalism, education, art and politics. May include fiction, poetry, drama, digital media, and other forms. Consult department website for current year's offerings. Prerequisite: For ENGL courses at the 200- or 300- level, prior completion of at least one 100- level ENGL course is recommended. Equivalency: ENGL 370",	3-6
African Studies,AFST_V 380,Study of Sociolinguistics of a Selected African Language,"Selected African language with emphasis on major syntactic structures, vocabulary, conversation patterns, reading short texts, and the cultural and historical contexts of language use.",	3-6
